sample	number of pairs analyzed	total pairs passed	total pairs passed (percent of all pairs)	total pair_1 trimmed	total pair_1 trimmed (percent of all passed pairs)	total pair_2 trimmed	total pair_2 trimmed (percent of all passed pairs)	total pairs failed	total pairs failed (percent of all pairs)	pairs failed due to pair_1	pairs failed due to pair_1 (percent of all failed pairs)	pairs failed due to pair_2	pairs failed due to pair_2 (percent of all failed pairs)	pairs failed due to both	pairs failed due to both (percent of all failed pairs)	FAILED_REASON_P	FAILED_REASON_P (percent of all failed pairs)	FAILED_REASON_N	FAILED_REASON_N (percent of all failed pairs)	FAILED_REASON_C33	FAILED_REASON_C33 (percent of all failed pairs)
EP_ALPH_AREN_GL_P01	3619158	3389132	93.64	0	0.00	322	0.01	230026	6.36	37081	16.12	156959	68.24	35986	15.64	0	0	0	0	0	0
EP_ALPH_AREN_HP_P01	3650350	3426506	93.87	0	0.00	350	0.01	223844	6.13	40691	18.18	143108	63.93	40045	17.89	0	0	0	0	0	0
EP_ALPH_AREN_MG_P01	3653657	3396170	92.95	0	0.00	416	0.01	257487	7.05	35591	13.82	176923	68.71	44973	17.47	0	0	0	0	0	0
EP_ALPH_FASC_GL_P04	3651487	2952001	80.84	0	0.00	0	0.00	699486	19.16	52450	7.50	604018	86.35	43018	6.15	0	0	0	0	0	0
EP_ALPH_FASC_HP_P04	3632804	3423367	94.23	0	0.00	337	0.01	209437	5.77	47917	22.88	132479	63.25	29041	13.87	0	0	0	0	0	0
EP_ALPH_FASC_MG_P04	3652162	3477929	95.23	0	0.00	274	0.01	174233	4.77	38190	21.92	111161	63.80	24882	14.28	0	0	0	0	0	0
EP_ALPH_HEPH_MG_P06	3545836	3298875	93.04	0	0.00	314	0.01	246961	6.96	41163	16.67	165703	67.10	40095	16.24	0	0	0	0	0	0
EP_ALPH_HYEY_GL_P10	3653032	3419639	93.61	0	0.00	238	0.01	233393	6.39	41348	17.72	164998	70.70	27047	11.59	0	0	0	0	0	0
EP_ALPH_HYEY_HP_P10	3570174	3349195	93.81	0	0.00	500	0.01	220979	6.19	40426	18.29	154700	70.01	25853	11.70	0	0	0	0	0	0
EP_ALPH_HYEY_MG_P10	3513591	3312071	94.26	0	0.00	296	0.01	201520	5.74	35016	17.38	142551	70.74	23953	11.89	0	0	0	0	0	0
