SampleID	input	filtered	per_reads_kept
Control_31	19541	16514	0.845
Control_32	4691	3248	0.692
Control_33	3475	627	0.18
Control_34	9880	7213	0.73
Control_35	6684	4841	0.724
Control_36	4907	2313	0.471
EP_A_FASC_EG_9014	11466	9823	0.857
EP_A_FASC_EG_9019	38182	34343	0.899
EP_A_FASC_EG_9052	5192	4519	0.87
EP_A_FASC_EG_9053	19408	16418	0.846
EP_A_FASC_EG_9057	37833	33685	0.89
EP_A_FASC_EG_9104	14169	12332	0.87
EP_A_FASC_GL_8990	12708	11097	0.873
EP_A_FASC_GL_9014	12296	11324	0.921
EP_A_FASC_GL_9019	20979	19477	0.928
EP_A_FASC_GL_9052	6870	5848	0.851
EP_A_FASC_GL_9053	19834	16548	0.834
EP_A_FASC_GL_9057	37340	33839	0.906
EP_A_FASC_GL_9104	13959	11987	0.859
EP_A_FASC_HP_8990	12628	11132	0.882
EP_A_FASC_HP_9014	16502	14055	0.852
EP_A_FASC_HP_9019	31178	27642	0.887
EP_A_FASC_HP_9052	5892	5057	0.858
EP_A_FASC_HP_9053	19657	15703	0.799
EP_A_FASC_HP_9057	31080	28359	0.912
EP_A_FASC_HP_9104	10841	9000	0.83
EP_A_FASC_MG_8990	11272	10009	0.888
EP_A_FASC_MG_9014	18325	16257	0.887
EP_A_FASC_MG_9019	44833	40747	0.909
EP_A_FASC_MG_9052	6460	5676	0.879
EP_A_FASC_MG_9053	19190	16309	0.85
EP_A_FASC_MG_9057	38414	35212	0.917
EP_A_FASC_MG_9104	21119	17975	0.851
EP_A_FASC_ST_8990	9793	8706	0.889
EP_A_FASC_ST_9014	17340	15237	0.879
EP_A_FASC_ST_9019	45261	40280	0.89
EP_A_FASC_ST_9052	3714	3288	0.885
EP_A_FASC_ST_9053	12209	10601	0.868
EP_A_FASC_ST_9057	39145	35423	0.905
EP_A_GALA_EG_8980	20053	16546	0.825
EP_A_GALA_EG_9164	48688	43670	0.897
EP_A_GALA_EG_9186	36889	32887	0.892
EP_A_GALA_GL_8980	24742	21641	0.875
EP_A_GALA_GL_9079	25099	20996	0.837
EP_A_GALA_GL_9164	44737	40251	0.9
EP_A_GALA_GL_9186	52345	46788	0.894
EP_A_GALA_HP_8980	19841	15804	0.797
EP_A_GALA_HP_9164	29474	27273	0.925
EP_A_GALA_HP_9186	36622	33626	0.918
EP_A_GALA_MG_8980	21509	18975	0.882
EP_A_GALA_MG_9079	20938	17983	0.859
EP_A_GALA_MG_9164	25755	23541	0.914
EP_A_GALA_MG_9186	37831	34122	0.902
EP_A_GALA_ST_8980	28028	23389	0.834
EP_A_GALA_ST_9079	6570	5513	0.839
EP_A_GALA_ST_9164	32885	30243	0.92
EP_A_GALA_ST_9186	23124	21873	0.946
EP_A_HEBE_EG_9349	21842	17576	0.805
EP_A_HEBE_GL_8936	45155	40031	0.887
EP_A_HEBE_GL_9349	19013	16156	0.85
