SampleID	input	filtered	denoisedF	denoisedR	merged	trim	nochim
Control_10	4854	3440	3404	3417	3378	3378	3378
Control_11	6264	5922	5910	5914	5905	5904	5904
Control_12	5840	3291	3213	3257	3210	118	118
Control_1	4813	4595	4581	4585	4580	4580	4580
Control_2	4153	3757	3733	3736	3672	3672	3672
Control_3	6932	2135	2113	2111	2101	2101	2101
Control_4	2445	2254	2253	2253	2252	2252	2252
Control_5	833	778	777	776	776	776	776
Control_6	2657	2378	2376	2373	2372	2372	2372
Control_7	3412	3245	3236	3232	3227	3227	3227
Control_8	9156	2056	2015	2019	1999	1999	1999
Control_9	3731	3478	3418	3472	3399	3396	3396
EP_A_AREN_EG_8651	17019	16632	16251	16296	15766	15737	15036
EP_A_AREN_EG_8654	19586	18954	18659	18720	18113	18038	17327
EP_A_AREN_EG_8698	13996	13622	13366	13470	12850	12843	12341
EP_A_AREN_GL_8465	8995	8581	8381	8451	8092	8082	7752
EP_A_AREN_GL_8507	27436	26285	26067	26118	25480	25405	23576
EP_A_AREN_GL_8508	9866	9506	9311	9361	8982	8519	8425
EP_A_AREN_GL_8515	8081	7495	7313	7349	6952	6830	6416
EP_A_AREN_GL_8520	9888	9608	9542	9531	9298	9284	9014
EP_A_AREN_GL_8624	19816	19136	18881	18958	18360	18355	16003
EP_A_AREN_GL_8625	34760	33251	32830	32967	31776	31462	30064
EP_A_AREN_GL_8626	14100	13737	13592	13631	13294	13279	12433
EP_A_AREN_GL_8627	8592	8343	8173	8238	7933	7933	7155
EP_A_AREN_GL_8650	19245	18361	18132	18207	17721	17659	16559
EP_A_AREN_GL_8651	14257	13912	13729	13781	13467	13464	12659
EP_A_AREN_GL_8652	16722	16269	15998	16097	15543	15527	13839
EP_A_AREN_GL_8654	247829	240613	238693	239281	233847	231748	220585
EP_A_AREN_GL_8658	9791	9538	9331	9386	8942	8935	8603
EP_A_AREN_GL_8697	23819	22915	22802	22817	22281	22073	20461
EP_A_AREN_GL_8698	14698	14255	14149	14190	14020	14010	13903
EP_A_AREN_GL_8699	18380	17839	17523	17623	16949	16866	15988
EP_A_AREN_HP_8465	12222	11805	11605	11659	11358	11248	11170
EP_A_AREN_HP_8507	34287	32507	32359	32393	32086	24380	24175
EP_A_AREN_HP_8508	9244	8496	8366	8413	8175	8157	8089
EP_A_AREN_HP_8515	19310	18563	18488	18468	18324	16747	16622
EP_A_AREN_HP_8520	10560	10297	10207	10238	10066	9887	9725
EP_A_AREN_HP_8624	15965	15097	14844	14897	14360	14357	12661
EP_A_AREN_HP_8625	38631	37834	37771	37765	37643	37642	35835
EP_A_AREN_HP_8626	24957	24241	24134	24172	23996	23726	23347
EP_A_AREN_HP_8627	9639	9450	9325	9353	9193	9176	9056
EP_A_AREN_HP_8650	21429	20704	20663	20655	20591	20318	19872
EP_A_AREN_HP_8651	10972	10624	10488	10579	10342	9670	9611
