ASV_ID	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
ASV1	9	976083	9.22e-4	558	4	554	0.7168458781362007
ASV2	2	857522	2.33e-4	1225	1	1224	0.0816326530612245
ASV4	11	666269	0.001651	113	3	110	2.6548672566371683
ASV5	12	595415	0.002015	206	3	203	1.4563106796116505
ASV6	2	553863	3.61e-4	236	1	235	0.423728813559322
ASV7	2	509588	3.92e-4	850	2	848	0.2352941176470588
ASV10	5	401705	0.001245	152	2	150	1.3157894736842104
ASV11	1	364018	2.75e-4	279	1	278	0.35842293906810035
ASV13	9	297160	0.003029	357	2	355	0.5602240896358543
ASV14	1	290117	3.45e-4	1111	1	1110	0.09000900090009001
ASV15	1	290062	3.45e-4	145	1	144	0.6896551724137931
ASV16	5	284185	0.001759	135	2	133	1.4814814814814816
ASV17	1	279267	3.58e-4	106	1	105	0.9433962264150944
ASV18	7	278725	0.002511	933	4	929	0.4287245444801715
ASV20	3	269374	0.001114	218	1	217	0.45871559633027525
ASV22	2	262858	7.61e-4	1314	1	1313	0.076103500761035
ASV23	1	246722	4.05e-4	1189	1	1188	0.08410428931875526
ASV26	4	226647	0.001765	314	2	312	0.6369426751592357
ASV28	2	215908	9.26e-4	83	1	82	1.2048192771084338
ASV31	3	191830	0.001564	366	2	364	0.546448087431694
ASV32	3	190048	0.0015790000000000001	79	1	78	1.2658227848101267
ASV33	1	187860	5.32e-4	406	1	405	0.24630541871921183
ASV34	1	185077	5.4e-4	459	1	458	0.2178649237472767
ASV36	1	167373	5.97e-4	96	1	95	1.0416666666666665
ASV37	1	157695	6.34e-4	143	1	142	0.6993006993006993
ASV38	2	154959	0.001291	65	1	64	1.5384615384615385
ASV39	5	152190	0.003285	220	1	219	0.45454545454545453
ASV41	2	137242	0.001457	104	1	103	0.9615384615384616
ASV44	5	123736	0.004041	36	3	33	8.333333333333332
ASV49	2	102001	0.001961	50	2	48	4
ASV52	2	93414	0.002141	42	1	41	2.380952380952381
ASV56	2	84517	0.002366	551	1	550	0.18148820326678766
ASV57	2	84169	0.002376	27	1	26	3.7037037037037033
ASV59	1	83695	0.001195	608	1	607	0.1644736842105263
ASV64	1	79429	0.001259	28	1	27	3.571428571428571
ASV65	3026	71037	4.085711	965	12	953	1.2435233160621761
ASV67	3	73077	0.004105	529	1	528	0.1890359168241966
ASV70	1	72025	0.001388	226	1	225	0.4424778761061947
ASV71	2	71764	0.002787	23	1	22	4.3478260869565215
ASV73	1	70070	0.001427	610	1	609	0.16393442622950818
ASV75	5306	63858	7.671621	665	12	653	1.8045112781954888
ASV76	5	67954	0.007357	233	4	229	1.7167381974248928
ASV82	1	62346	0.001604	37	1	36	2.7027027027027026
ASV91	33730	23444	58.995348	622	39	583	6.270096463022508
ASV95	1	51978	0.001924	612	1	611	0.16339869281045752
ASV96	2	51088	0.003915	430	1	429	0.23255813953488372
ASV97	263	50506	0.518033	767	4	763	0.5215123859191656
ASV103	5	46022	0.010863	98	2	96	2.0408163265306123
ASV117	1	42513	0.002352	664	1	663	0.15060240963855423
ASV121	4406	37389	10.541931	804	6	798	0.7462686567164178
ASV122	4	41718	0.009587	34	1	33	2.941176470588235
ASV123	3	41653	0.007202	18	1	17	5.555555555555555
ASV132	1	37405	0.002673	40	1	39	2.5
ASV133	1	37375	0.002676	76	1	75	1.3157894736842104
ASV146	1	33690	0.002968	203	1	202	0.49261083743842365
ASV147	415	33246	1.232881	711	2	709	0.2812939521800281
