SampleID	input	nochim	per_reads_kept	no_asvs	OCEAN	SPECIES	TISSUE	ID	SITE	SITE2	HABITAT	TAXON	PAIR	GROUP	COMPLEX	RUN	PLATE
Control_1	4813	4580	0.952	36	CON	CON	CON	1	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S5
Control_10	4854	3378	0.696	14	CON	CON	CON	10	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S8
Control_11	6264	5904	0.943	7	CON	CON	CON	11	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S8
Control_12	5840	118	0.02	5	CON	CON	CON	12	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S8
Control_13	1230	799	0.65	14	CON	CON	CON	13	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S9
Control_14	491	205	0.418	13	CON	CON	CON	14	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S9
Control_15	3303	1597	0.483	6	CON	CON	CON	15	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S9
Control_16	957	710	0.742	12	CON	CON	CON	16	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S10
Control_17	318	152	0.478	4	CON	CON	CON	17	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S10
Control_18	724	678	0.936	3	CON	CON	CON	18	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S10
Control_19	865	704	0.814	13	CON	CON	CON	19	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S11
Control_2	4153	3672	0.884	12	CON	CON	CON	2	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S5
Control_20	451	417	0.925	5	CON	CON	CON	20	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S11
Control_21	1069	928	0.868	6	CON	CON	CON	21	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S11
Control_22	1014	625	0.616	13	CON	CON	CON	22	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S12
Control_23	272	97	0.357	3	CON	CON	CON	23	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S12
Control_24	204	183	0.897	3	CON	CON	CON	24	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S12
Control_25	1253	1128	0.9	9	CON	CON	CON	25	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S1
Control_26	3289	2923	0.889	33	CON	CON	CON	26	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S1
Control_27	2151	1713	0.796	8	CON	CON	CON	27	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S1
Control_28	34332	7338	0.214	142	CON	CON	CON	28	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S2
Control_29	1782	449	0.252	4	CON	CON	CON	29	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S2
Control_3	6932	2101	0.303	4	CON	CON	CON	3	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S5
