samples	represented_reads	min_substantive_abundance_reason	maximum_variation_allowed_reason
EP_A_AREN_EG_8654	13521	3053	848
EP_A_AREN_EG_8698	9146	2759	552
EP_A_AREN_GL_8465	6234	1274	358
EP_A_AREN_GL_8507	17211	5086	1382
EP_A_AREN_GL_8508	6250	1879	352
EP_A_AREN_GL_8515	5262	1076	275
EP_A_AREN_GL_8520	6179	2326	408
EP_A_AREN_GL_8624	13069	1996	614
EP_A_AREN_GL_8625	20928	7867	1401
EP_A_AREN_GL_8626	11136	1021	331
EP_A_AREN_GL_8627	6367	798	189
EP_A_AREN_GL_8650	12426	3599	481
EP_A_AREN_GL_8651	11159	1122	397
EP_A_AREN_GL_8652	12166	1798	385
EP_A_AREN_GL_8654	186556	27725	7099
EP_A_AREN_GL_8658	6723	1582	382
EP_A_AREN_GL_8697	17867	1996	590
EP_A_AREN_GL_8698	12628	855	250
EP_A_AREN_GL_8699	11870	3888	544
EP_A_AREN_HP_8465	9662	1172	225
EP_A_AREN_HP_8507	13646	7362	1999
EP_A_AREN_HP_8508	3781	3883	593
EP_A_AREN_HP_8515	13220	2216	598
EP_A_AREN_HP_8520	8413	983	249
EP_A_AREN_HP_8624	9869	1945	658
EP_A_AREN_HP_8626	20127	2206	578
EP_A_AREN_HP_8627	7605	1042	299
EP_A_AREN_HP_8650	18029	1175	429
EP_A_AREN_HP_8651	6342	2209	739
EP_A_AREN_HP_8652	9360	1283	209
EP_A_AREN_HP_8654	12893	863	229
EP_A_AREN_HP_8658	4932	1551	433
EP_A_AREN_HP_8697	15891	819	203
EP_A_AREN_HP_8698	134010	35403	6271
EP_A_AREN_HP_8699	11345	4872	1177
EP_A_AREN_HP_9195	28952	9724	916
EP_A_AREN_MG_8465	3921	1659	432
EP_A_AREN_MG_8507	12940	9002	3326
EP_A_AREN_MG_8508	6536	4122	1547
EP_A_AREN_MG_8515	7400	1786	507
EP_A_AREN_MG_8520	8772	2549	1598
EP_A_AREN_MG_8624	5460	3649	1213
EP_A_AREN_MG_8627	5671	782	243
EP_A_AREN_MG_8650	6736	2452	1329
EP_A_AREN_MG_8651	9909	878	276
EP_A_AREN_MG_8652	8624	3253	1040
EP_A_AREN_MG_8654	6591	862	235
EP_A_AREN_MG_8699	7884	4323	1176
EP_A_AREN_ST_8465	5471	974	230
EP_A_AREN_ST_8507	12457	11327	2885
EP_A_AREN_ST_8508	7100	2176	617
EP_A_AREN_ST_8515	6193	2776	535
EP_A_AREN_ST_8520	13145	730	70
EP_A_AREN_ST_8624	14055	1554	356
EP_A_AREN_ST_8627	2047	1216	196
EP_A_AREN_ST_8650	13672	12302	927
EP_A_AREN_ST_8652	13921	1971	285
EP_A_AREN_ST_8654	11972	2884	779
EP_A_AREN_ST_8697	12200	1984	547
EP_A_AREN_ST_8699	8535	733	123
EP_A_FASC_EG_8989	15314	2761	613
EP_A_FASC_EG_9019	12915	3373	753
EP_A_FASC_EG_9053	8027	1901	685
EP_A_FASC_GL_8614	33054	18855	6337
EP_A_FASC_GL_9016	4258	943	323
EP_A_FASC_GL_9019	12510	2669	568
EP_A_FASC_GL_9020	14122	2329	469
EP_A_FASC_GL_9051	7588	2366	472
EP_A_FASC_HP_9020	23332	2109	212
EP_A_FASC_HP_9056	27496	4558	849
EP_A_FASC_HP_9107	115211	23646	4374
EP_A_FASC_MG_9051	150060	37073	6290
EP_A_FASC_MG_9056	27318	2956	213
EP_A_FASC_ST_8614	39399	6311	915
EP_A_FASC_ST_8989	14618	4192	763
EP_A_FASC_ST_9052	2191	213	101
EP_A_GALA_EG_9164	11127	8346	2993
