samples	OCEAN	SPECIES	TISSUE	SITE	HABITAT	TAXON	PAIR	GROUP	COMPLEX	RUN	PLATE
EP_A_AREN_EG_8651	EP	ALPH_AREN	EG	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S6
EP_A_AREN_EG_8654	EP	ALPH_AREN	EG	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S8
EP_A_AREN_EG_8698	EP	ALPH_AREN	EG	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S8
EP_A_AREN_GL_8465	EP	ALPH_AREN	GL	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S8
EP_A_AREN_GL_8507	EP	ALPH_AREN	GL	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S7
EP_A_AREN_GL_8508	EP	ALPH_AREN	GL	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S8
EP_A_AREN_GL_8515	EP	ALPH_AREN	GL	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S8
EP_A_AREN_GL_8520	EP	ALPH_AREN	GL	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S8
EP_A_AREN_GL_8624	EP	ALPH_AREN	GL	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S8
EP_A_AREN_GL_8625	EP	ALPH_AREN	GL	Bay_of_Chiriqui	Intertidal_under_rocks	Snapping_shrimp	A_arenensis-A_websteri	A_formosus*	A_websteri	BCS_26	Istmo_S7
