Sample_ID	input	remove_nc	nochim	no_contam
EP_A_AREN_EG_8651	16255	16254	14942	14942
EP_A_AREN_EG_8654	18611	18571	17423	17423
EP_A_AREN_EG_8698	13323	13308	12462	12462
EP_A_AREN_EG_9196	7292	7291	6526	6526
EP_A_AREN_GL_8465	8311	8304	7876	7876
EP_A_AREN_GL_8507	25279	25257	23687	23687
EP_A_AREN_GL_8508	8839	8834	8504	8503
EP_A_AREN_GL_8515	7110	7107	6624	6624
EP_A_AREN_GL_8520	9380	9289	8927	8925
EP_A_AREN_GL_8624	18586	18583	15693	15692
EP_A_AREN_GL_8625	32015	31988	30209	30209
EP_A_AREN_GL_8626	13402	13397	12488	12488
EP_A_AREN_GL_8627	8212	8211	7358	7358
EP_A_AREN_GL_8650	17780	17774	16517	16517
EP_A_AREN_GL_8651	13663	13661	12678	12678
EP_A_AREN_GL_8652	15996	15994	14356	14356
EP_A_AREN_GL_8654	233408	232982	221557	221543
EP_A_AREN_GL_8658	9296	9294	8746	8725
EP_A_AREN_GL_8697	22021	21989	20479	20479
EP_A_AREN_GL_8698	13971	13963	13733	13733
EP_A_AREN_GL_8699	17453	17452	16311	16311
EP_A_AREN_GL_9195	30422	30410	27716	27716
EP_A_AREN_GL_9196	5316	5315	4864	4864
EP_A_AREN_HP_8465	11299	11294	11123	11119
EP_A_AREN_HP_8507	23935	23509	23007	23007
EP_A_AREN_HP_8508	8520	8503	8306	8257
EP_A_AREN_HP_8515	16368	16279	16034	16034
EP_A_AREN_HP_8520	9912	9749	9645	9645
EP_A_AREN_HP_8624	14551	14550	12501	12501
EP_A_AREN_HP_8625	37204	37202	36192	36192
EP_A_AREN_HP_8626	23356	23303	22942	22942
EP_A_AREN_HP_8627	9252	9239	9020	9020
EP_A_AREN_HP_8650	19881	19841	19633	19633
EP_A_AREN_HP_8651	9534	9454	9292	9292
EP_A_AREN_HP_8652	11167	11153	10855	10855
EP_A_AREN_HP_8654	14299	14286	13987	13987
EP_A_AREN_HP_8658	7150	7002	6922	6922
EP_A_AREN_HP_8697	17022	16965	16913	16913
EP_A_AREN_HP_8698	182325	181909	175968	175948
EP_A_AREN_HP_8699	17967	17934	17451	17451
EP_A_AREN_HP_9195	40411	40300	39592	39592
EP_A_AREN_HP_9196	5545	5358	5206	5206
EP_A_AREN_MG_8465	6342	6337	6020	6016
EP_A_AREN_MG_8507	26127	25759	25322	25322
EP_A_AREN_MG_8508	12604	12547	12312	12312
EP_A_AREN_MG_8515	9968	9955	9693	9693
EP_A_AREN_MG_8520	13297	13088	12957	12957
EP_A_AREN_MG_8624	10627	10604	10384	10384
EP_A_AREN_MG_8625	25841	25841	25385	25385
EP_A_AREN_MG_8626	11635	11621	11359	11359
EP_A_AREN_MG_8627	7008	7004	6815	6815
EP_A_AREN_MG_8650	10705	10609	10517	10517
EP_A_AREN_MG_8651	11408	11396	11067	11067
EP_A_AREN_MG_8652	13424	13376	12957	12957
EP_A_AREN_MG_8654	8068	8063	7693	7693
EP_A_AREN_MG_8697	12426	12425	12292	12292
EP_A_AREN_MG_8698	6101	6079	6026	6022
EP_A_AREN_MG_8699	14023	14007	13418	13418
EP_A_AREN_MG_9195	17107	17097	16320	16320
EP_A_AREN_MG_9196	5550	5538	5242	5242
EP_A_AREN_ST_8465	6969	6968	6689	6689
EP_A_AREN_ST_8507	27570	27564	26685	26683
EP_A_AREN_ST_8508	10049	10046	9895	9895
EP_A_AREN_ST_8515	9693	9682	9505	9505
EP_A_AREN_ST_8520	14073	14072	13955	13955
EP_A_AREN_ST_8624	16302	16296	16024	16019
EP_A_AREN_ST_8625	17904	17904	17599	17599
EP_A_AREN_ST_8626	11674	11669	11059	11059
EP_A_AREN_ST_8627	3613	3610	3478	3478
EP_A_AREN_ST_8650	27947	27942	26940	26940
EP_A_AREN_ST_8651	4212	4212	4162	4162
EP_A_AREN_ST_8652	16699	16698	16188	16188
EP_A_AREN_ST_8654	16946	16903	15641	15641
EP_A_AREN_ST_8658	13910	13908	13702	13702
EP_A_AREN_ST_8697	15716	15706	14740	14740
EP_A_AREN_ST_8698	11537	11507	11063	11063
EP_A_AREN_ST_8699	9581	9581	9404	9404
EP_A_AREN_ST_9195	49996	49826	47402	47402
EP_A_AREN_ST_9196	6854	6702	6422	6422
EP_A_FASC_EG_8620	22720	22710	21710	21710
EP_A_FASC_EG_8989	19462	19457	18698	18698
EP_A_FASC_EG_8991	7465	7463	7063	7062
EP_A_FASC_EG_8993	26145	26101	25364	25359
EP_A_FASC_EG_9014	7021	7021	6237	6237
EP_A_FASC_EG_9016	7371	7367	6666	6666
EP_A_FASC_EG_9019	18630	18623	17051	17051
EP_A_FASC_EG_9051	15941	15898	15347	15347
EP_A_FASC_EG_9052	3335	3322	3029	3029
EP_A_FASC_EG_9053	11727	11724	10617	10617
EP_A_FASC_EG_9056	43308	43297	40364	40364
EP_A_FASC_EG_9057	17487	17479	16201	16201
EP_A_FASC_EG_9104	10307	10303	9799	9799
EP_A_FASC_GL_8614	60039	59539	59127	59127
EP_A_FASC_GL_8618	36276	36205	35341	35340
EP_A_FASC_GL_8620	35102	35042	33751	33751
EP_A_FASC_GL_8989	22039	22018	21480	21476
EP_A_FASC_GL_8990	7900	7877	7673	7673
EP_A_FASC_GL_8991	5878	5837	5686	5686
EP_A_FASC_GL_8992	4804	4492	4489	4489
EP_A_FASC_GL_8993	10104	9983	9935	9935
EP_A_FASC_GL_8996	16501	16474	15744	15744
EP_A_FASC_GL_9014	9114	9114	8160	8159
EP_A_FASC_GL_9016	5779	5729	5532	5532
EP_A_FASC_GL_9019	16368	16243	15792	15792
EP_A_FASC_GL_9020	18514	18507	16955	16955
EP_A_FASC_GL_9051	10982	10894	10438	10437
EP_A_FASC_GL_9052	4231	4164	3900	3898
EP_A_FASC_GL_9053	11961	11949	11468	11468
EP_A_FASC_GL_9056	38189	37932	36423	36423
EP_A_FASC_GL_9057	16534	16443	16022	16012
EP_A_FASC_GL_9104	8909	8760	8669	8669
EP_A_FASC_GL_9107	12907	12871	12706	12706
EP_A_FASC_HP_8614	78767	78748	78685	78685
EP_A_FASC_HP_8618	19425	19054	18839	18839
EP_A_FASC_HP_8620	41614	40810	39863	39863
EP_A_FASC_HP_8989	79405	79401	79353	79353
EP_A_FASC_HP_8990	7992	7961	7813	7813
EP_A_FASC_HP_8991	5905	5796	5725	5725
EP_A_FASC_HP_8992	26521	26466	25491	25491
