Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_16_000000000-CMN9T_1_1113_21857_26306	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2101_7451_16837	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2103_11662_22768	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2101_17675_20095	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2105_17229_20573	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1114_23424_6835	2	2	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2110_23419_16099	4	4	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1109_12464_17636	474	7901	5.659701	471	9	462	1.910828025477707
M06508_16_000000000-CMN9T_1_1109_6931_16625	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2108_8591_24393	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2108_19171_4628	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2110_2674_14071	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1109_25532_17841	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_2110_19075_2885	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1113_26829_19406	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2111_9209_26990	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1103_17896_24733	4	18	18.181818	13	2	11	15.384615384615385
M06508_16_000000000-CMN9T_1_2107_24314_16865	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2108_26810_10041	1	3	25	4	1	3	25
M06508_18_000000000-CNPPR_1_1104_15270_25638	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2111_3246_12269	2	15	11.764706	13	1	12	7.6923076923076925
M06508_16_000000000-CMN9T_1_2101_24177_10292	3	5	37.5	5	2	3	40
M06508_18_000000000-CNPPR_1_1111_18947_23653	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1104_15488_23491	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1102_17825_4333	3	3	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2110_9219_17365	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1109_17402_15942	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_27107_15706	3	3	50	2	1	1	50
