Sample_ID	input	screen_seqs	align_screen	remove_nc	nochim	no_contam
EP_A_AREN_EG_8651	17019	16262	16255	16255	14870	14870
EP_A_AREN_EG_8654	19586	18614	18611	18576	17356	17356
EP_A_AREN_EG_8698	13996	13327	13323	13314	12408	12408
EP_A_AREN_EG_9196	9741	7294	7292	7291	6480	6480
EP_A_AREN_GL_8465	8995	8313	8311	8306	7848	7848
EP_A_AREN_GL_8507	27436	25287	25279	25263	23423	23423
EP_A_AREN_GL_8508	9866	8839	8839	8836	8491	8490
EP_A_AREN_GL_8515	8081	7110	7110	7107	6572	6572
EP_A_AREN_GL_8520	9888	9381	9380	9277	8893	8891
EP_A_AREN_GL_8624	19816	18588	18586	18583	15563	15562
EP_A_AREN_GL_8625	34760	32019	32015	32003	30154	30154
EP_A_AREN_GL_8626	14100	13403	13402	13397	12388	12388
EP_A_AREN_GL_8627	8592	8216	8212	8211	7326	7326
EP_A_AREN_GL_8650	19245	17988	17780	17779	16421	16421
EP_A_AREN_GL_8651	14257	13664	13663	13663	12618	12618
EP_A_AREN_GL_8652	16722	15999	15996	15995	14190	14190
EP_A_AREN_GL_8654	247829	233451	233408	233018	220419	220404
EP_A_AREN_GL_8658	9791	9296	9296	9294	8720	8699
EP_A_AREN_GL_8697	23819	22022	22021	21979	20293	20293
EP_A_AREN_GL_8698	14698	13977	13971	13963	13718	13718
EP_A_AREN_GL_8699	18380	17478	17453	17452	16224	16224
EP_A_AREN_GL_9195	32359	30422	30422	30418	27264	27264
EP_A_AREN_GL_9196	7138	5316	5316	5315	4828	4828
EP_A_AREN_HP_8465	12222	11304	11299	11294	11119	11119
EP_A_AREN_HP_8507	34287	23938	23935	23515	22961	22961
EP_A_AREN_HP_8508	9244	8529	8520	8510	8293	8242
EP_A_AREN_HP_8515	19310	16388	16368	16280	16019	16019
EP_A_AREN_HP_8520	10560	9913	9912	9717	9611	9611
EP_A_AREN_HP_8624	15965	14554	14551	14551	12191	12191
EP_A_AREN_HP_8625	38631	37204	37204	37202	36060	36060
EP_A_AREN_HP_8626	24957	23356	23356	23299	22895	22895
EP_A_AREN_HP_8627	9639	9258	9252	9242	9004	9004
