Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_19_000000000-CR8CR_1_1109_12464_17636	740	12199	5.719144	423	9	414	2.127659574468085
M06508_8_000000000-JTFYW_1_2110_2674_14071	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1113_26829_19406	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2107_24314_16865	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2113_26270_16687	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1108_20403_19558	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_9825_13019	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1104_15270_17439	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2109_24905_10340	691	821	45.701058	15	1	14	6.666666666666667
M06508_19_000000000-CR8CR_1_2102_13608_25609	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2104_7706_13986	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_17291_14034	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1111_13226_15170	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2114_25228_21235	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1102_22078_5780	1	2501	0.039968	106	1	105	0.9433962264150944
M06508_9_000000000-JTBW3_1_2111_17909_2131	162	8293	1.916026	179	1	178	0.5586592178770949
M06508_16_000000000-CMN9T_1_1109_21795_18964	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1109_21065_9643	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2107_11776_27394	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1105_3293_14963	194	666	22.55814	33	1	32	3.0303030303030303
M06508_12_000000000-CJG44_1_2113_7691_6819	3	77543	0.003869	537	1	536	0.186219739292365
M06508_8_000000000-JTFYW_1_2103_19228_7145	3	3	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2105_13433_4154	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_17761_2588	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1107_22255_11750	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2112_19992_13203	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2111_25468_22029	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1103_18097_22071	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1114_19108_3686	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1102_9217_6060	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1104_5100_23121	6	19706	0.030438	532	1	531	0.18796992481203006
M06508_18_000000000-CNPPR_1_2114_8074_11825	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1111_21867_27189	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_19569_12002	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1102_22382_17087	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2110_27416_14353	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1107_15848_15119	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2109_15117_5027	1	139360	7.18e-4	588	1	587	0.17006802721088435
M06508_18_000000000-CNPPR_1_2107_22574_4576	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2113_10143_17267	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1112_15733_21313	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1114_25306_21047	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2107_17758_22791	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1106_9195_12609	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_14233_21393	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1108_17806_12401	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2101_5380_21281	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2111_2608_11249	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2112_13600_26520	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2108_18842_2994	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1106_12298_3835	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1112_12890_14414	8559	13076	39.560897	293	17	276	5.802047781569966
M06508_18_000000000-CNPPR_1_2109_15904_26392	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2107_14985_27883	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2104_7428_19444	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1114_26766_19797	2	611436	3.27e-4	248	2	246	0.8064516129032258
M06508_12_000000000-CJG44_1_1104_20606_20838	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1112_16877_27426	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1106_8575_18876	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2103_19152_27171	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1112_24733_11096	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2112_14875_23320	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1104_17736_9711	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2103_10205_11007	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2114_3744_9390	282	12898	2.139605	264	3	261	1.1363636363636365
M06508_16_000000000-CMN9T_1_2108_21809_5597	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2103_25573_5386	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1101_24155_15689	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1104_27983_20290	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1110_6031_7179	322	5168	5.865209	237	2	235	0.8438818565400843
M06508_8_000000000-JTFYW_1_2105_15660_21242	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1105_27079_19624	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_19218_21622	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2101_17625_19977	5	203257	0.00246	349	4	345	1.146131805157593
M06508_16_000000000-CMN9T_1_1106_11362_28210	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1110_6041_16403	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1111_17905_19878	1	134556	7.43e-4	106	1	105	0.9433962264150944
M06508_16_000000000-CMN9T_1_2113_11296_23590	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2101_22805_13165	20	22	47.619048	4	1	3	25
M06508_18_000000000-CNPPR_1_2104_11967_9435	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2109_21249_26495	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1111_16802_5929	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_26459_11866	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2108_20889_10403	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2101_9632_18053	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1104_7399_16434	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1104_14323_25160	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1106_15483_4327	10	10	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1101_22864_6410	12	12	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1111_11151_6907	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1101_11279_27892	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1112_19036_14548	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1113_13538_19757	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2109_21178_20012	4	4	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_11363_2654	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2114_17394_20110	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2113_2931_11423	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_2112_9731_22907	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2114_16006_28359	1	51471	0.001943	434	1	433	0.2304147465437788
M06508_8_000000000-JTFYW_1_2107_10797_18917	9	9	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_12062_26517	2	301067	6.64e-4	1100	2	1098	0.18181818181818182
M06508_18_000000000-CNPPR_1_2110_28143_11112	335	694	32.555879	31	2	29	6.451612903225806
M06508_18_000000000-CNPPR_1_2109_19011_16292	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2101_15057_25172	2	27324	0.007319	21	2	19	9.523809523809524
M06508_18_000000000-CNPPR_1_2107_4071_14320	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2103_12601_19939	1	2552	0.03917	114	1	113	0.8771929824561403
M06508_16_000000000-CMN9T_1_2102_9940_11061	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1104_9763_20420	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2113_21535_14491	2	2	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2101_7890_19483	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1101_24678_9423	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2104_8001_9119	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_17394_10706	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2110_8454_14290	4	66809	0.005987	240	4	236	1.6666666666666667
M06508_18_000000000-CNPPR_1_2104_25398_21789	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2107_22548_5009	2	2	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2111_21431_7302	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1102_17989_8286	1	13276	0.007532	330	1	329	0.30303030303030304
M06508_12_000000000-CJG44_1_1106_26273_20906	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2101_13553_15566	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1105_15947_23516	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1107_23576_16346	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1110_16082_5432	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1113_26633_12125	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2102_11266_17555	2	2	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2113_12882_10986	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1103_19696_4332	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1106_8193_22994	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1111_11763_21717	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1103_22039_26737	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1113_27916_18796	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2108_8301_5967	34	800	4.076739	73	1	72	1.36986301369863
M06508_19_000000000-CR8CR_1_2112_3148_16305	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2107_14394_3975	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2103_9338_22170	99	13380	0.734476	409	2	407	0.4889975550122249
M06508_18_000000000-CNPPR_1_1105_4655_17493	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1105_13040_20705	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2107_19190_25944	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1105_26984_20431	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2111_10578_18581	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1108_14494_24762	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_7795_17045	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1113_11751_11856	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2109_9093_23982	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2113_6590_24201	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2105_18172_13815	1	31119	0.003213	84	1	83	1.1904761904761905
M06508_18_000000000-CNPPR_1_2114_17517_27344	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2105_3137_9415	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1110_15770_7957	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1109_4093_21112	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1111_19279_26823	1	69844	0.001432	26	1	25	3.8461538461538463
M06508_8_000000000-JTFYW_1_2110_15652_10701	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1105_25066_7423	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2114_9853_18813	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1106_6659_22536	1	265717	3.76e-4	1201	1	1200	0.08326394671107411
M06508_12_000000000-CJG44_1_1112_15592_27606	1	1	50	2	1	1	50
