SampleID	Original_name	Ocean	Morphospecies	Tissue	Habitat	Site	Site_2	Taxon	Length	Station_no	Species_pair	Species_group	Species_complex	Run	Plate	Row	Column	Fastq_ID_forward_original	Fastq_ID_forward_rename	Fastq_ID_reverse_original	Fastq_ID_reverse_rename
EP_A_PANA_MG_7322	7322-M	Eastern_Pacific	Alpheus_panamensis	Midgut	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.5	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	G	7	7322-M_R1_001.trimmed.fastq BCS_26	EP_A_PANA_MG_7322_R1_001.trimmed.fastq	7322-M_R2_001.trimmed.fastq BCS_26	EP_A_PANA_MG_7322_R2_001.trimmed.fastq
EP_A_PANA_HP_7322	7322-H	Eastern_Pacific	Alpheus_panamensis	Hepatopancreas	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.5	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	G	8	7322-H_R1_001.trimmed.fastq BCS_26	EP_A_PANA_HP_7322_R1_001.trimmed.fastq	7322-H_R2_001.trimmed.fastq BCS_26	EP_A_PANA_HP_7322_R2_001.trimmed.fastq
EP_A_PANA_ST_7322	7322-S	Eastern_Pacific	Alpheus_panamensis	Stomach	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.5	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	G	9	7322-S_R1_001.trimmed.fastq BCS_26	EP_A_PANA_ST_7322_R1_001.trimmed.fastq	7322-S_R2_001.trimmed.fastq BCS_26	EP_A_PANA_ST_7322_R2_001.trimmed.fastq
EP_A_PANA_GL_7322	7322-G	Eastern_Pacific	Alpheus_panamensis	Gill	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.5	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	G	10	7322-G_R1_001.trimmed.fastq BCS_26	EP_A_PANA_GL_7322_R1_001.trimmed.fastq	7322-G_R2_001.trimmed.fastq BCS_26	EP_A_PANA_GL_7322_R2_001.trimmed.fastq
EP_A_PANA_MG_7326	7326-M	Eastern_Pacific	Alpheus_panamensis	Midgut	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.6	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	F	2	7326-M_R1_001.trimmed.fastq BCS_26	EP_A_PANA_MG_7326_R1_001.trimmed.fastq	7326-M_R2_001.trimmed.fastq BCS_26	EP_A_PANA_MG_7326_R2_001.trimmed.fastq
EP_A_PANA_GL_7326	7326-G	Eastern_Pacific	Alpheus_panamensis	Gill	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.6	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	F	3	7326-G_R1_001.trimmed.fastq BCS_26	EP_A_PANA_GL_7326_R1_001.trimmed.fastq	7326-G_R2_001.trimmed.fastq BCS_26	EP_A_PANA_GL_7326_R2_001.trimmed.fastq
EP_A_PANA_HP_7326	7326-H	Eastern_Pacific	Alpheus_panamensis	Hepatopancreas	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.6	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	F	4	7326-H_R1_001.trimmed.fastq BCS_26	EP_A_PANA_HP_7326_R1_001.trimmed.fastq	7326-H_R2_001.trimmed.fastq BCS_26	EP_A_PANA_HP_7326_R2_001.trimmed.fastq
EP_A_PANA_ST_7326	7326-S	Eastern_Pacific	Alpheus_panamensis	Stomach	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.6	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	F	5	7326-S_R1_001.trimmed.fastq BCS_26	EP_A_PANA_ST_7326_R1_001.trimmed.fastq	7326-S_R2_001.trimmed.fastq BCS_26	EP_A_PANA_ST_7326_R2_001.trimmed.fastq
EP_A_PANA_HP_7327	7327-H	Eastern_Pacific	Alpheus_panamensis	Hepatopancreas	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.5	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	E	5	7327-H_R1_001.trimmed.fastq BCS_26	EP_A_PANA_HP_7327_R1_001.trimmed.fastq	7327-H_R2_001.trimmed.fastq BCS_26	EP_A_PANA_HP_7327_R2_001.trimmed.fastq
EP_A_PANA_GL_7327	7327-G	Eastern_Pacific	Alpheus_panamensis	Gill	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.5	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	E	6	7327-G_R1_001.trimmed.fastq BCS_26	EP_A_PANA_GL_7327_R1_001.trimmed.fastq	7327-G_R2_001.trimmed.fastq BCS_26	EP_A_PANA_GL_7327_R2_001.trimmed.fastq
EP_A_PANA_MG_7327	7327-M	Eastern_Pacific	Alpheus_panamensis	Midgut	Intertidal under rocks	Bay of Panama	Bay of Panama	Snapping_shrimp	10.5	TRANS-03	A_panamensis-A_formosus	A_formosus*	A_formosus	BCS_26	Istmo_S5	E	7	7327-M_R1_001.trimmed.fastq BCS_26	EP_A_PANA_MG_7327_R1_001.trimmed.fastq	7327-M_R2_001.trimmed.fastq BCS_26	EP_A_PANA_MG_7327_R2_001.trimmed.fastq
