Sample_ID	original_name	Ocean	Morphospecies	Tissue_type	raw_reads	Habitat	Site	Site_2	Taxon	Length	Station_no	Species_Pair	Species_group	Species_complex	Fastq_ID_forward_original	Fastq_ID_forward_rename	Fastq_ID_reverse_original	Fastq_ID_reverse_rename	Run	Plate	Row	Column
Control_1	Control-1	Control	Control	Control	4813	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-1_R1_001.trimmed.fastq	Control_1_R1_001.trimmed.fastq	Control-1_R2_001.trimmed.fastq	Control_1_R2_001.trimmed.fastq	BCS_26	Istmo_S5	H	10
Control_10	Control-10	Control	Control	Control	4854	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-10_R1_001.trimmed.fastq	Control_10_R1_001.trimmed.fastq	Control-10_R2_001.trimmed.fastq	Control_10_R2_001.trimmed.fastq	BCS_26	Istmo_S8	H	10
Control_11	Control-11	Control	Control	Control	6264	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-11_R1_001.trimmed.fastq	Control_11_R1_001.trimmed.fastq	Control-11_R2_001.trimmed.fastq	Control_11_R2_001.trimmed.fastq	BCS_26	Istmo_S8	H	11
Control_12	Control-12	Control	Control	Control	5840	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-12_R1_001.trimmed.fastq	Control_12_R1_001.trimmed.fastq	Control-12_R2_001.trimmed.fastq	Control_12_R2_001.trimmed.fastq	BCS_26	Istmo_S8	H	12
Control_13	Control-13	Control	Control	Control	1230	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-13_R1_001.trimmed.fastq	Control_13_R1_001.trimmed.fastq	Control-13_R2_001.trimmed.fastq	Control_13_R2_001.trimmed.fastq	BCS_35	Istmo_S9	H	10
Control_14	Control-14	Control	Control	Control	491	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-14_R1_001.trimmed.fastq	Control_14_R1_001.trimmed.fastq	Control-14_R2_001.trimmed.fastq	Control_14_R2_001.trimmed.fastq	BCS_35	Istmo_S9	H	11
Control_15	Control-15	Control	Control	Control	3303	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-15_R1_001.trimmed.fastq	Control_15_R1_001.trimmed.fastq	Control-15_R2_001.trimmed.fastq	Control_15_R2_001.trimmed.fastq	BCS_35	Istmo_S9	H	12
Control_16	Control-16	Control	Control	Control	957	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-16_R1_001.trimmed.fastq	Control_16_R1_001.trimmed.fastq	Control-16_R2_001.trimmed.fastq	Control_16_R2_001.trimmed.fastq	BCS_35	Istmo_S10	H	10
Control_17	Control-17	Control	Control	Control	318	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-17_R1_001.trimmed.fastq	Control_17_R1_001.trimmed.fastq	Control-17_R2_001.trimmed.fastq	Control_17_R2_001.trimmed.fastq	BCS_35	Istmo_S10	H	11
Control_18	Control-18	Control	Control	Control	724	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-18_R1_001.trimmed.fastq	Control_18_R1_001.trimmed.fastq	Control-18_R2_001.trimmed.fastq	Control_18_R2_001.trimmed.fastq	BCS_35	Istmo_S10	H	12
Control_19	Control-19	Control	Control	Control	865	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-19_R1_001.trimmed.fastq	Control_19_R1_001.trimmed.fastq	Control-19_R2_001.trimmed.fastq	Control_19_R2_001.trimmed.fastq	BCS_35	Istmo_S11	H	10
Control_2	Control-2	Control	Control	Control	4153	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-2_R1_001.trimmed.fastq	Control_2_R1_001.trimmed.fastq	Control-2_R2_001.trimmed.fastq	Control_2_R2_001.trimmed.fastq	BCS_26	Istmo_S5	H	11
Control_20	Control-20	Control	Control	Control	451	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-20_R1_001.trimmed.fastq	Control_20_R1_001.trimmed.fastq	Control-20_R2_001.trimmed.fastq	Control_20_R2_001.trimmed.fastq	BCS_35	Istmo_S11	H	11
Control_21	Control-21	Control	Control	Control	1069	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-21_R1_001.trimmed.fastq	Control_21_R1_001.trimmed.fastq	Control-21_R2_001.trimmed.fastq	Control_21_R2_001.trimmed.fastq	BCS_35	Istmo_S11	H	12
Control_22	Control-22	Control	Control	Control	1014	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-22_R1_001.trimmed.fastq	Control_22_R1_001.trimmed.fastq	Control-22_R2_001.trimmed.fastq	Control_22_R2_001.trimmed.fastq	BCS_35	Istmo_S12	H	10
Control_23	Control-23	Control	Control	Control	272	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-23_R1_001.trimmed.fastq	Control_23_R1_001.trimmed.fastq	Control-23_R2_001.trimmed.fastq	Control_23_R2_001.trimmed.fastq	BCS_35	Istmo_S12	H	11
Control_24	Control-24	Control	Control	Control	204	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-24_R1_001.trimmed.fastq	Control_24_R1_001.trimmed.fastq	Control-24_R2_001.trimmed.fastq	Control_24_R2_001.trimmed.fastq	BCS_35	Istmo_S12	H	12
Control_25	Control-25	Control	Control	Control	1253	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-25_R1_001.trimmed.fastq	Control_25_R1_001.trimmed.fastq	Control-25_R2_001.trimmed.fastq	Control_25_R2_001.trimmed.fastq	BCS_34	Istmo_S1	H	10
Control_26	Control-26	Control	Control	Control	3289	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-26_R1_001.trimmed.fastq	Control_26_R1_001.trimmed.fastq	Control-26_R2_001.trimmed.fastq	Control_26_R2_001.trimmed.fastq	BCS_34	Istmo_S1	H	11
Control_27	Control-27	Control	Control	Control	2151	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-27_R1_001.trimmed.fastq	Control_27_R1_001.trimmed.fastq	Control-27_R2_001.trimmed.fastq	Control_27_R2_001.trimmed.fastq	BCS_34	Istmo_S1	H	12
Control_28	Control-28	Control	Control	Control	34332	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-28_R1_001.trimmed.fastq	Control_28_R1_001.trimmed.fastq	Control-28_R2_001.trimmed.fastq	Control_28_R2_001.trimmed.fastq	BCS_34	Istmo_S2	H	10
Control_29	Control-29	Control	Control	Control	1782	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-29_R1_001.trimmed.fastq	Control_29_R1_001.trimmed.fastq	Control-29_R2_001.trimmed.fastq	Control_29_R2_001.trimmed.fastq	BCS_34	Istmo_S2	H	11
Control_3	Control-3	Control	Control	Control	6932	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-3_R1_001.trimmed.fastq	Control_3_R1_001.trimmed.fastq	Control-3_R2_001.trimmed.fastq	Control_3_R2_001.trimmed.fastq	BCS_26	Istmo_S5	H	12
Control_30	Control-30	Control	Control	Control	1698	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-30_R1_001.trimmed.fastq	Control_30_R1_001.trimmed.fastq	Control-30_R2_001.trimmed.fastq	Control_30_R2_001.trimmed.fastq	BCS_34	Istmo_S2	H	12
Control_31	Control-31	Control	Control	Control	19541	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-31_R1_001.trimmed.fastq	Control_31_R1_001.trimmed.fastq	Control-31_R2_001.trimmed.fastq	Control_31_R2_001.trimmed.fastq	BCS_28	Istmo_S3	H	10
Control_32	Control-32	Control	Control	Control	4691	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-32_R1_001.trimmed.fastq	Control_32_R1_001.trimmed.fastq	Control-32_R2_001.trimmed.fastq	Control_32_R2_001.trimmed.fastq	BCS_28	Istmo_S3	H	11
Control_33	Control-33	Control	Control	Control	3475	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-33_R1_001.trimmed.fastq	Control_33_R1_001.trimmed.fastq	Control-33_R2_001.trimmed.fastq	Control_33_R2_001.trimmed.fastq	BCS_28	Istmo_S3	H	12
Control_34	Control-34	Control	Control	Control	9880	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-34_R1_001.trimmed.fastq	Control_34_R1_001.trimmed.fastq	Control-34_R2_001.trimmed.fastq	Control_34_R2_001.trimmed.fastq	BCS_28	Istmo_S4	H	10
Control_35	Control-35	Control	Control	Control	6684	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-35_R1_001.trimmed.fastq	Control_35_R1_001.trimmed.fastq	Control-35_R2_001.trimmed.fastq	Control_35_R2_001.trimmed.fastq	BCS_28	Istmo_S4	H	11
Control_36	Control-36	Control	Control	Control	4907	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control-36_R1_001.trimmed.fastq	Control_36_R1_001.trimmed.fastq	Control-36_R2_001.trimmed.fastq	Control_36_R2_001.trimmed.fastq	BCS_28	Istmo_S4	H	12
